SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchDate,ExitDate,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority
2610,522,1977,Normal,Duplo,,Police Station,522-1,,23.0,4.0,{Not specified},{Not specified},,,,,,,82,33,X,0,43.33,14.61,,,0,0,0,0,0
2620,523,1977,Normal,Duplo,,Train and Station,523-1,,46.0,5.0,{Not specified},{Not specified},,,,,,,57,36,X,0,225.99,29.57,,,0,0,0,0,0
2632,524,1977,Normal,Duplo,,DUPLO Town,524-1,,54.0,7.0,{Not specified},{Not specified},,,,,,,54,31,X,0,,82.19,,,0,0,0,0,0
6170,528,1978,Normal,Duplo,,Building Set,528-1,,20.0,,Box,Retail - limited,,,,,,,32,25,X,0,21.51,,,,0,0,0,0,0
7516,529,1978,Normal,Duplo,,Animals,,,39.0,,{Not specified},{Not specified},,,,,,,20,23,X,0,,10.36,,,0,0,0,0,0
7485,530,1976,Normal,Duplo,,Puppy,530-2,,9.0,,{Not specified},{Not specified},,,,,,,44,31,X,0,,,,,0,0,0,0,0
7486,531,1976,Normal,Duplo,,Elephants,531-1,,20.0,,{Not specified},{Not specified},,,,,,,35,30,X,0,,,,,0,0,0,0,0
2711,532,1976,Normal,Duplo,,Pull-Along Ducks,532-1,,19.0,,{Not specified},{Not specified},,,,,,,42,42,X,0,,23.16,,,0,0,0,0,0
7504,533,1977,Normal,Duplo,,Racer,533-2,1.1,4.0,1.0,{Not specified},{Not specified},,,,,,,78,30,X,0,,1.0,,,0,0,0,0,0
2718,534,1978,Normal,Duplo,,Bath-Toy Boat,534-1,,3.0,1.0,{Not specified},{Not specified},,,,,,,183,42,X,0,77.56,6.53,,,0,0,0,0,0
2721,535,1977,Normal,Duplo,,Taxi,535-2,,4.0,1.0,{Not specified},{Not specified},,,,,,,93,31,X,0,,5.27,,,0,0,0,0,0
7505,536,1977,Normal,Duplo,,Camping,536-1,,10.0,2.0,{Not specified},{Not specified},,,,,,,70,26,X,0,,,,,0,0,0,0,0
7506,537,1977,Normal,Duplo,,Mary's House,537-2,,16.0,3.0,{Not specified},{Not specified},,,,,,,64,30,X,0,,44.61,,,0,0,0,0,0
4301,850,1977,Normal,Technic,,Fork-Lift Truck,850-1,,210.0,,Box,Retail,,,,,,,2483,345,X,25,467.26,21.84,,,0,0,0,0,0
4312,851,1977,Normal,Technic,,Tractor,851-1,,318.0,,Box,Retail,,,,,,,1726,543,X,57,42.82,92.05,,,0,0,0,0,0
4323,852,1977,Normal,Technic,,Helicopter,852-1,,364.0,,Box,Retail,,,,,,,771,376,X,33,468.26,84.29,,,0,0,0,0,0
4329,853,1977,Normal,Technic,,Car Chassis,853-1,,601.0,,Box,Retail,,,,,,,1462,647,X,51,140.46,212.72,,,0,0,0,0,0
4340,854,1978,Normal,Technic,,Go-Kart,854-1,,206.0,,Box,Retail,,,,,,,2723,386,X,46,143.6,23.35,,,0,0,0,0,0
4350,855,1978,Normal,Technic,,Mobile Crane,855-1,,512.0,,Box,Retail,,,,,,,1099,392,X,18,527.11,75.66,,,0,0,0,0,0
4361,856,1979,Normal,Technic,,Bulldozer,856-1,,372.0,,Box,Retail,,,,,,,1529,457,X,27,775.0,60.2,,,0,0,0,0,0
4372,857,1979,Normal,Technic,,Motorbike with Sidecar,857-1,,409.0,,Box,Retail,,,,,,,727,467,X,14,,135.14,,,0,0,0,0,0
4382,858,1980,Normal,Technic,,Auto Engines,858-1,,242.0,,Box,Retail,,,,,,,159,534,X,9,,599.99,,,0,0,0,0,0
4431,870,1977,Normal,Technic,Supplementary,"Technical Motor, 4.5V",870-1,,22.0,,Box,Retail,,,,,,,1101,205,X,5,70.0,28.42,,,0,0,0,0,0
4433,871,1977,Normal,Technic,Supplementary,Supplementary Set,871-1,,78.0,,Box,Retail,,,,,,,708,188,X,0,76.37,33.16,,,0,0,0,0,0
4438,872,1978,Normal,Technic,Supplementary,Two Gear Blocks,872-1,,77.0,,Box,Retail,,,,,,,963,185,X,4,34.54,15.59,,,0,0,0,0,0
4441,874,1979,Normal,Technic,Supplementary,Yellow Beams with Connector Pegs,874-1,,38.0,,Box,Retail,,,,,,,206,147,X,0,43.72,7.25,,,0,0,0,0,0
4442,875,1979,Normal,Technic,Supplementary,Red Beams with Connector Pegs,875-1,,38.0,,Box,Retail,,,,,,,165,151,X,0,42.63,7.25,,,0,0,0,0,0
4443,876,1979,Normal,Technic,Supplementary,Blue Beams with Connector Pegs,876-1,,38.0,,Box,Retail,,,,,,,149,155,X,0,42.63,31.48,,,0,0,0,0,0
4444,877,1979,Normal,Technic,Supplementary,Steering Gear Parts,877-1,,24.0,,Box,Retail,,,,,,,164,174,X,0,104.55,16.66,,,0,0,0,0,0
4453,878,1979,Normal,Technic,Supplementary,Piston Parts,878-1,,52.0,,Box,Retail,,,,,,,147,160,X,0,93.91,16.57,,,0,0,0,0,0
4457,879,1979,Normal,Technic,Supplementary,Gear Wheels with Chain Links,879-1,,87.0,,Box,Retail,,,,,,,241,182,X,0,162.69,33.02,,,0,0,0,0,0
4460,880,1979,Normal,Technic,Supplementary,12 Volt Motor,880-1,,22.0,,Box,Retail,,,,,,,287,195,X,0,75.0,91.32,,,0,0,0,0,0
4545,948,1978,Normal,Technic,,Go-Kart,948-1,22.0,206.0,,Box,Retail,,,,,,,834,253,X,20,197.9,36.0,,,0,0,0,0,0
