_id,SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,PriceChange,ResaleDemand,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,YearsSinceExit,AppreciationTrend,AnnualPriceIncrease,AnnualPercentageIncrease
67cdbf4341e4c15d5670771f,39928,10317,2023,Normal,Icons,Vehicles,Land Rover Classic Defender 90,10317-1,239.99,2336.0,0.0,Box,LEGO exclusive,58.2,37.8,11.8,0.0,18.0,0.0,3449,2767,0,185.26,157.13,2023,1,2025,12,-22.805116879870003,1.1790237383058613,Large,Exclusive,0.0,0.8779532480519983,0,0.0,,
67cdbf4341e4c15d56707720,47295,10318,2023,Normal,Icons,Miscellaneous,Concorde,10318-1,199.99,2083.0,0.0,Box,LEGO exclusive,58.2,48.0,9.1,0.0,18.0,0.0,4125,2338,5,163.58,141.75,2023,4,2026,12,-18.205910295514773,1.1540035273368607,Large,Exclusive,0.0,2.7176358817940907,0,0.0,,
67cdbf4341e4c15d56707723,47098,10323,2023,Normal,Icons,Licensed,PAC-MAN Arcade,10323-1,269.99,2651.0,1.0,Box,LEGO exclusive,58.2,48.0,12.4,0.0,18.0,0.0,3328,2366,5,226.27,173.33,2023,1,2026,12,-16.193192340457053,1.3054289505567414,Large,Exclusive,0.0,3.5227230638171783,0,0.0,,
67cdbf4341e4c15d56707724,48337,10325,2023,Normal,Icons,Winter Village Collection,Alpine Lodge,10325-1,99.99,1517.0,5.0,Box,LEGO exclusive,47.8,28.0,11.7,1.745,18.0,0.0,7802,2334,0,98.72,60.79,2023,1,2026,12,-1.270127012701266,1.623951307780885,Large,Exclusive,0.0,9.491949194919494,0,0.0,,
67cdbf4341e4c15d56707725,48568,10326,2024,Normal,Icons,Modular Buildings Collection,Natural History Museum,10326-1,299.99,4014.0,9.0,Box,LEGO exclusive,51.8,47.5,17.6,5.142,18.0,0.0,7021,5258,5,229.61,241.23,2023,1,2027,12,-23.460782026067534,0.95183020354019,Large,Exclusive,0.0,0.6156871895729861,0,0.0,,
67cdbf4341e4c15d56707726,48466,10327,2024,Normal,Icons,Licensed,Dune Atreides Royal Ornithopter,10327-1,164.99,1369.0,8.0,Box,Retail,45.6,28.2,11.8,0.0,18.0,0.0,4799,2684,17,131.48,101.2,2024,1,2027,12,-20.31032183768714,1.2992094861660077,Large,Exclusive,0.0,1.8758712649251432,0,0.0,,
67cdbf4341e4c15d56707727,48467,10328,2024,Normal,Icons,Botanical Collection,Bouquet of Roses,10328-1,59.99,822.0,0.0,Box,Retail,26.2,38.2,7.1,0.703,18.0,0.0,5893,1809,4,44.09,34.66,2024,1,2027,12,-26.504417402900483,1.2720715522215813,Medium,Exclusive,0.0,-0.6017669611601946,0,0.0,,
67cdbf4341e4c15d56707728,48611,10329,2024,Normal,Icons,Botanical Collection,Tiny Plants,10329-1,49.99,758.0,0.0,Box,Retail,38.0,26.0,5.6,0.716,18.0,0.0,8150,1990,5,33.92,42.65,2023,1,2027,12,-32.14642928585717,0.7953106682297774,Medium,Exclusive,0.0,-2.858571714342867,0,0.0,,
67cdbf4341e4c15d56707729,48468,10330,2024,Normal,Icons,Vehicles,McLaren MP4/4 & Ayrton Senna,10330-1,79.99,693.0,1.0,Box,Retail,38.2,26.2,7.1,0.0,18.0,0.0,4412,1513,0,61.85,47.95,2024,1,2027,12,-22.67783472934116,1.2898852971845671,Medium,Exclusive,0.0,0.9288661082635361,0,0.0,,
67cdbf4341e4c15d5670772a,48469,10331,2024,Normal,Icons,Miscellaneous,Kingfisher,10331-1,49.99,834.0,0.0,Box,Retail,38.2,26.2,5.7,0.0,18.0,0.0,3420,1488,0,42.4,36.69,2024,1,2027,12,-15.18303660732147,1.1556282365767239,Medium,Exclusive,0.0,3.9267853570714113,0,0.0,,
