SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,YearsSinceExit,PriceChange,ResaleDemand,AppreciationTrend,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,AnnualPriceIncrease,AnnualPercentageIncrease
34549,122327,2023,Other,Jurassic World,Magazine Gift,Baby Raptor,122327-1,0.0,20.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,504,215,0,3.07,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.07,0.0
47000,122328,2023,Other,Jurassic World,Magazine Gift,Owen with Jetpack,122328-1,0.0,23.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,398,174,0,3.68,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.68,0.0
47086,122329,2023,Other,Jurassic World,Magazine Gift,Pyroraptor,122329-1,0.0,71.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,268,132,0,3.18,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.18,0.0
47204,122330,2023,Other,Jurassic World,Magazine Gift,Raptor with Trap,122330-1,0.0,30.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,369,185,0,3.24,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.24,0.0
47345,122331,2023,Other,Jurassic World,Magazine Gift,Owen with Swamp Speeder and Raptor,122331-1,0.0,26.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,303,142,0,3.33,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.33,0.0
48345,122332,2023,Other,Jurassic World,Magazine Gift,Jetpack-Ranger & Raptor,12332-1,0.0,17.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,6.0,0.0,309,151,0,3.14,2.0,2023,1,2024,12,1,,1.57,,Small,Regular,0.0,,3.14,0.0
48624,122333,2023,Other,Jurassic World,Magazine Gift,Owen with Motorcycle,122333-1,0.0,14.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,210,117,0,3.62,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.62,0.0
48781,122334,2023,Other,Jurassic World,Magazine Gift,Alan with Dino Skeleton,122334-1,0.0,35.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,404,184,4,4.14,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,4.14,0.0
34459,212325,2023,Other,DC Comics Super Heroes,Magazine Gift,Batcycle,212325-1,0.0,37.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,522,263,2,3.07,4.74,2023,1,2024,12,1,,0.6476793248945147,,Small,Regular,0.0,,3.07,0.0
43014,212326,2023,Other,DC Comics Super Heroes,Magazine Gift,Batman with Jet,212326-1,0.0,29.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,413,207,4,3.36,3.69,2023,1,2024,12,1,,0.9105691056910568,,Small,Regular,0.0,,3.36,0.0
47088,212327,2023,Other,DC Comics Super Heroes,Magazine Gift,The Joker,212327-1,0.0,7.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,744,241,0,4.17,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,4.17,0.0
47239,212328,2023,Other,DC Comics Super Heroes,Magazine Gift,Batmobile Tumbler,212328-1,0.0,59.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,429,185,0,3.55,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.55,0.0
48346,212329,2023,Other,DC Comics Super Heroes,Magazine Gift,Batwing,212329-1,0.0,44.0,0.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,328,154,0,3.34,1.94,2023,1,2024,12,1,,1.7216494845360824,,Small,Regular,0.0,,3.34,0.0
48662,212330,2023,Other,DC Comics Super Heroes,Magazine Gift,Batman,212330-1,0.0,6.0,1.0,Paper bag,Retail - limited,0.0,0.0,0.0,0.0,0.0,0.0,473,151,0,3.64,0.0,2023,1,2024,12,1,,0.0,,Small,Regular,0.0,,3.64,0.0
