Number,SetName,Theme,Year,Pieces,Minifigs,RetailPriceUSD,CurrentValueNew,ForecastValueNew2Y,ForecastValueNew5Y,RollingGrowthLastYear,RollingGrowth12M,PriceType,PriceDate,PriceValue,Currency,URL,CurrentValueUsed
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2025-02-03,3.02,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2025-01-01,3.26,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-12-14,3.15,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-12-01,3.26,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-11-15,3.02,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-11-01,3.09,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-09-14,3.01,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-08-14,3.39,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-08-01,3.53,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-07-14,3.52,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-07-02,3.53,USD,https://www.brickeconomy.com/api/v1/set/122327,
122327-1,Baby Raptor,Jurassic World,2023,20,N/A,N/A,3.02,3.19,3.65,-0.83,-0.72,New,2024-06-17,3.52,USD,https://www.brickeconomy.com/api/v1/set/122327,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2025-02-03,3.52,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2025-01-15,3.22,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2025-01-01,3.27,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2024-11-01,3.3,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2024-10-14,3.17,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2024-09-26,3.19,USD,https://www.brickeconomy.com/api/v1/set/122328,
122328-1,Owen with Jetpack,Jurassic World,2023,23,1,N/A,3.52,3.6,3.72,1.06,-2.72,New,2024-09-14,3.29,USD,https://www.brickeconomy.com/api/v1/set/122328,
