Number,SetName,Theme,Year,Pieces,Minifigs,RetailPriceUSD,CurrentValueNew,ForecastValueNew2Y,ForecastValueNew5Y,RollingGrowthLastYear,RollingGrowth12M,PriceType,PriceDate,PriceValue,Currency,URL,CurrentValueUsed
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2025-02-15,24.5,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2025-02-03,23.26,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2024-02-08,19.99,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2024-02-01,27.99,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-12-29,27.93,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-12-15,27.74,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-11-29,27.43,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-11-09,27.19,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-11-01,27.37,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-10-15,27.99,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-10-01,27.74,USD,https://www.brickeconomy.com/api/v1/set/40621,
40621-1,Moana & Merida,BrickHeadz,2023,410,N/A,19.99,24.5,26.99,30.66,N/A,N/A,New,2023-09-29,27.98,USD,https://www.brickeconomy.com/api/v1/set/40621,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2025-02-15,19.41,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2025-02-03,16.11,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2025-01-15,16.8,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2025-01-01,15.62,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-12-14,13.66,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-12-08,10.46,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-02-26,9.99,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-02-08,10.04,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-01-23,16.8,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2024-01-07,17.94,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2023-12-15,16.8,USD,https://www.brickeconomy.com/api/v1/set/40627,
40627-1,Sonic the Hedgehog,BrickHeadz,2023,139,N/A,9.99,19.41,22.09,26.04,N/A,N/A,New,2023-11-29,16.79,USD,https://www.brickeconomy.com/api/v1/set/40627,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2025-02-15,14.35,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2025-02-03,13.36,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2024-02-26,9.99,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2024-02-08,10.04,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2024-01-23,16.79,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2024-01-12,19.0,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2024-01-07,18.95,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2023-12-29,17.94,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2023-12-15,16.78,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2023-11-29,16.23,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2023-11-09,16.26,USD,https://www.brickeconomy.com/api/v1/set/40628,
40628-1,Miles 'Tails' Prower,BrickHeadz,2023,131,N/A,9.99,14.35,16.33,19.25,N/A,N/A,New,2023-10-15,16.79,USD,https://www.brickeconomy.com/api/v1/set/40628,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2025-02-15,16.0,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2025-02-03,19.43,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2025-01-24,20.43,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2024-02-08,14.99,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2024-02-01,16.73,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2024-01-23,17.95,USD,https://www.brickeconomy.com/api/v1/set/40630,
40630-1,Frodo & Gollum,BrickHeadz,2023,184,N/A,14.99,16.0,18.19,21.43,N/A,N/A,New,2024-01-23,19.94,USD,https://www.brickeconomy.com/api/v1/set/40630,
