SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,YearsSinceExit,PriceChange,ResaleDemand,AppreciationTrend,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,AnnualPriceIncrease,AnnualPercentageIncrease
34482,40621,2023,Normal,BrickHeadz,Disney,Moana & Merida,40621-1,19.99,410.0,0.0,Box,Retail,19.1,14.1,9.1,0.0,10.0,0.0,2632,591,0,24.45,0.0,2023,1,2024,12,1,22.3111555777889,0.0,22.3111555777889,Medium,Regular,0.0,15.617808904452229,4.460000000000001,22.3111555777889
47233,40627,2023,Normal,BrickHeadz,Sonic the Hedgehog,Sonic the Hedgehog,40627-1,9.99,139.0,0.0,Box,Retail,9.1,12.2,7.8,0.0,10.0,0.0,2503,546,0,13.45,9.18,2023,1,2024,12,1,34.63463463463462,1.4651416122004357,34.63463463463462,Small,Regular,0.0,24.244244244244236,3.459999999999999,34.63463463463462
47234,40628,2023,Normal,BrickHeadz,Sonic the Hedgehog,Miles 'Tails' Prower,40628-1,9.99,131.0,0.0,Box,Retail,9.1,12.2,7.8,0.0,10.0,0.0,2318,529,0,12.36,0.0,2023,1,2024,12,1,23.723723723723715,0.0,23.723723723723715,Small,Regular,0.0,16.6066066066066,2.369999999999999,23.723723723723715
34348,40630,2023,Normal,BrickHeadz,The Lord of the Rings,Frodo & Gollum,40630-1,14.99,184.0,0.0,Box,Retail,19.1,14.1,6.1,0.0,10.0,0.0,5292,763,0,15.74,12.78,2023,1,2024,12,1,5.003335557038025,1.2316118935837246,5.003335557038025,Small,Regular,0.0,3.502334889926618,0.75,5.003335557038025
34352,40631,2023,Normal,BrickHeadz,The Lord of the Rings,Gandalf the Grey & Balrog,40631-1,19.99,348.0,0.0,Box,Retail,19.1,14.1,7.1,0.0,10.0,0.0,5124,1015,0,24.53,14.09,2023,1,2024,12,1,22.711355677838934,1.7409510290986516,22.711355677838934,Medium,Regular,0.0,15.897948974487251,4.540000000000003,22.711355677838934
34320,40632,2023,Normal,BrickHeadz,The Lord of the Rings,Aragorn & Arwen,40632-1,19.99,261.0,0.0,Box,Retail,19.1,14.1,7.1,0.0,10.0,0.0,4273,864,0,23.35,15.77,2023,1,2024,12,1,16.808404202101066,1.4806594800253647,16.808404202101066,Medium,Regular,0.0,11.765882941470746,3.360000000000003,16.808404202101066
34379,40651,2023,Normal,Creator,Postcard,Australia Postcard,40651-1,14.99,191.0,0.0,Box,LEGO exclusive,19.1,14.1,6.1,0.212,7.0,0.0,2571,751,4,17.71,14.23,2023,1,2024,12,1,18.14543028685791,1.2445537596626846,18.14543028685791,Small,Regular,0.0,12.701801200800537,2.7200000000000006,18.14543028685791
33857,40654,2022,Normal,Creator,Postcard,Beijing Postcard,40654-1,14.99,274.0,0.0,Box,LEGO exclusive,19.1,14.1,7.1,0.0,9.0,0.0,2313,591,4,17.98,12.48,2022,1,2024,12,1,19.94663108739159,1.4407051282051282,19.94663108739159,Medium,Regular,0.0,13.962641761174115,2.99,19.94663108739159
48806,40672,2024,Normal,BrickHeadz,Sonic the Hedgehog,Knuckles & Shadow,40672-1,19.99,298.0,0.0,Box,Retail,19.1,14.1,6.1,0.0,10.0,0.0,1729,521,0,23.81,17.06,2024,1,2024,12,1,19.109554777388695,1.395662368112544,19.109554777388695,Medium,Regular,0.0,13.376688344172086,3.82,19.109554777388695
48644,40673,2024,Normal,BrickHeadz,Disney,Spring Festival Mickey Mouse,40673-1,9.99,120.0,0.0,Box,LEGO exclusive,9.1,12.2,5.9,0.124,10.0,0.0,2347,412,0,12.38,0.0,2024,1,2024,12,1,23.92392392392393,0.0,23.92392392392393,Small,Regular,0.0,16.74674674674675,2.390000000000001,23.92392392392393
48858,40676,2024,Normal,BrickHeadz,Star Wars,The Phantom Menace,40676-1,54.99,732.0,0.0,Box,LEGO exclusive,35.4,19.1,7.0,0.0,10.0,0.0,3709,775,0,49.47,32.05,2024,1,2024,12,1,-10.038188761593023,1.5435257410296412,-10.038188761593023,Medium,Regular,0.0,-7.026732133115116,-5.520000000000003,-10.038188761593023
48859,40677,2024,Normal,BrickHeadz,Wizarding World,Prisoner of Azkaban Figures,40677-1,49.99,697.0,0.0,Box,Retail,35.4,19.1,7.0,0.0,10.0,0.0,1822,642,0,53.97,0.0,2024,1,2024,12,1,7.961592318463687,0.0,7.961592318463687,Medium,Regular,0.0,5.573114622924581,3.979999999999997,7.961592318463687
