Number,SetName,Theme,Year,Pieces,Minifigs,RetailPriceUSD,CurrentValueNew,ForecastValueNew2Y,ForecastValueNew5Y,RollingGrowthLastYear,RollingGrowth12M,PriceType,PriceDate,PriceValue,Currency,URL,CurrentValueUsed
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2025-02-04,162.06,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2025-01-01,145.99,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-12-02,153.26,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-11-02,161.61,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-10-14,164.29,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-09-27,164.95,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-09-15,144.21,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-08-31,165.12,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-08-02,164.95,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-07-03,173.1,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-06-01,165.41,USD,https://www.brickeconomy.com/api/v1/set/9840,
9840-1,Storage Solution 6 Pack,Education,2006,12,N/A,137.95,162.06,166.49,173.13,-2.14,-2.14,New,2024-01-08,165.48,USD,https://www.brickeconomy.com/api/v1/set/9840,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2025-02-03,300.0,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2025-01-15,286.12,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2025-01-01,279.34,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-12-15,210.04,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-12-02,210.05,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-11-15,215.44,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-11-01,217.41,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-09-27,218.61,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-09-15,219.96,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-08-31,222.08,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-08-15,229.95,USD,https://www.brickeconomy.com/api/v1/set/10274,
10274-1,ECTO-1,Ghostbusters,2020,2352,N/A,239.99,300.0,348.16,419.26,N/A,N/A,New,2024-08-01,229.99,USD,https://www.brickeconomy.com/api/v1/set/10274,
10283-1,Space Shuttle Discovery,Icons,2021,2354,N/A,199.99,246.8,291.06,356.41,N/A,N/A,New,2025-02-15,246.8,USD,https://www.brickeconomy.com/api/v1/set/10283,
10283-1,Space Shuttle Discovery,Icons,2021,2354,N/A,199.99,246.8,291.06,356.41,N/A,N/A,New,2025-02-03,249.55,USD,https://www.brickeconomy.com/api/v1/set/10283,
