SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,YearsSinceExit,PriceChange,ResaleDemand,AppreciationTrend,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,AnnualPriceIncrease,AnnualPercentageIncrease,PricePerPiece,PricePerMinifig,YearsOnMarket,InteractionFeature,PredictedInvestmentScore
48873,75393,2024,Normal,Star Wars,Rebuild the Galaxy,TIE Fighter & X-wing Mash-up,75393-1,109.99,1063.0,5.0,Box,Retail,0.0,0.0,0.0,0.0,9.0,0.0,1500,1858,0,75.75,0.0,2024,1,2026,7,0,-31.130102736612415,0.0,0.0,2,1,0.0,-2.452041094644967,0.0,0.0,0.10347130761994355,21.997999999999998,2,0.2069426152398871,1.1917217444652213
50851,75402,2025,Normal,Star Wars,The Clone Wars,ARC-170 Starfighter,75402-1,69.99,497.0,4.0,Box,Retail,35.4,19.1,9.1,0.0,9.0,0.0,1406,2600,4,60.79,0.0,2025,1,2026,12,0,-13.144734962137443,0.0,0.0,1,1,0.0,4.742106015145022,0.0,0.0,0.14082494969818912,17.4975,1,0.14082494969818912,1.1917217444652213
48830,76431,2024,Normal,Harry Potter,Philosopher's Stone,Hogwarts Castle: Potions Class,76431-1,39.99,397.0,4.0,Box,Retail,26.2,19.1,7.2,0.0,8.0,0.0,2185,1620,0,29.75,0.0,2024,1,2026,7,0,-25.6064016004001,0.0,0.0,1,1,0.0,-0.2425606401600415,0.0,0.0,0.10073047858942066,9.9975,2,0.20146095717884133,1.1917217444652213
50718,76314,2025,Normal,Marvel Super Heroes,Captain America: Civil War,Captain America: Civil War Action Battle,76314-1,99.99,736.0,8.0,Box,Retail,38.2,26.2,7.1,0.0,10.0,0.0,216,1112,0,84.87,0.0,2025,1,2026,12,0,-15.121512151215114,0.0,0.0,1,1,0.0,3.951395139513954,0.0,0.0,0.13585597826086956,12.49875,1,0.13585597826086956,1.1917217444652213
48887,76290,2024,Normal,Marvel Super Heroes,The Avengers,The Avengers vs. The Leviathan,76290-1,49.99,347.0,5.0,Box,Retail,26.2,22.2,6.2,0.0,7.0,0.0,1222,1176,0,40.83,0.0,2024,1,2025,12,0,-18.323664732946597,0.0,0.0,1,1,0.0,2.6705341068213606,0.0,0.0,0.14406340057636888,9.998000000000001,1,0.14406340057636888,1.1917217444652213
50676,76453,2025,Normal,Harry Potter,Deathly Hallows,Malfoy Manor,76453-1,149.99,1601.0,9.0,Box,Retail,48.0,37.8,9.4,0.0,10.0,0.0,390,1549,0,0.0,0.0,2025,1,2027,12,0,-100.0,0.0,0.0,2,1,0.0,-30.0,0.0,0.0,0.09368519675202999,16.665555555555557,2,0.18737039350405998,1.1917217444652213
48945,21352,2024,Normal,Ideas,Licensed,Magic of Disney,21352-1,99.99,1103.0,4.0,Box,Retail,38.0,26.0,9.3,1.186,18.0,0.0,1074,1095,4,95.43,0.0,2024,1,2026,12,0,-4.560456045604549,0.0,0.0,2,1,0.0,8.17581758175818,0.0,0.0,0.09065276518585674,24.9975,2,0.18130553037171349,1.1917217444652213
48484,76282,2024,Normal,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,Rocket & Baby Groot,76282-1,59.99,566.0,1.0,Box,Retail,19.1,35.4,7.0,0.0,10.0,0.0,1691,711,0,38.92,0.0,2024,1,2025,12,0,-35.12252042007001,0.0,0.0,1,1,0.0,-4.049008168028005,0.0,0.0,0.10598939929328623,59.99,1,0.10598939929328623,1.1481119595638498
48804,10391,2024,Normal,Icons,Licensed,Over the Moon with Pharrell Williams,10391-1,109.99,966.0,2.0,Box,LEGO exclusive,0.0,0.0,0.0,0.0,18.0,0.0,398,769,0,101.95,0.0,2024,1,2025,12,0,-7.309755432312022,0.0,0.0,1,1,0.0,7.076097827075191,0.0,0.0,0.11386128364389234,54.995,1,0.11386128364389234,1.1481119595638498
50829,75403,2025,Normal,Star Wars,The Mandalorian,Grogu with Hover Pram,75403-1,99.99,1048.0,1.0,Box,Retail,26.2,38.2,9.4,0.0,10.0,0.0,746,1591,0,84.51,0.0,2025,1,2026,12,0,-15.481548154815473,0.0,0.0,2,1,0.0,3.8073807380738103,0.0,0.0,0.09541030534351144,99.99,1,0.09541030534351144,1.1481119595638498
48870,75392,2024,Normal,Star Wars,Miscellaneous,Creative Play Droid Builder,75392-1,99.99,1186.0,2.0,Box,Retail,38.2,26.2,9.4,0.0,9.0,0.0,1404,1819,0,83.93,0.0,2024,1,2025,12,0,-16.06160616061605,0.0,0.0,2,1,0.0,3.5753575357535787,0.0,0.0,0.08430860033726813,49.995,1,0.08430860033726813,1.1481119595638498
50716,76309,2025,Normal,Marvel Super Heroes,Spider-Man,Spider-Man vs. Venom Muscle Car,76309-1,29.99,254.0,3.0,Box,Retail,26.2,19.1,6.1,0.0,7.0,0.0,283,835,0,19.61,0.0,2025,1,2026,12,0,-34.61153717905969,0.0,0.0,1,1,0.0,-3.8446148716238753,0.0,0.0,0.11807086614173228,9.996666666666666,1,0.11807086614173228,1.1481119595638498
50884,76447,2025,Normal,Harry Potter,Philosopher's Stone,Hogwarts Castle: Flying Lessons,76447-1,79.99,651.0,2.0,Box,Retail,38.2,26.2,7.1,0.0,9.0,0.0,282,1372,0,122.62,0.0,2025,1,2027,12,0,53.294161770221294,0.0,0.0,1,1,0.0,31.31766470808852,0.0,0.0,0.12287250384024577,39.995,2,0.24574500768049154,1.137379019625599
50708,75401,2025,Normal,Star Wars,The Clone Wars,Ahsoka's Jedi Interceptor,75401-1,44.99,290.0,3.0,Box,Retail,26.2,19.1,6.1,0.0,8.0,0.0,1394,2652,3,36.57,0.0,2025,1,2026,12,0,-18.71527006001334,0.0,0.0,1,1,0.0,2.513891975994664,0.0,0.0,0.15513793103448276,14.996666666666668,1,0.15513793103448276,1.1234914707231338
50686,11200,2025,Normal,Marvel Super Heroes,Spidey and His Amazing Friends,Spidey and Gobby's Raptor Battle at Tree House HQ,11200-1,54.99,143.0,2.0,Box,Retail,28.2,26.2,5.9,0.0,4.0,0.0,74,386,0,0.0,0.0,2025,1,2026,12,0,-100.0,0.0,0.0,0,1,0.0,-30.0,0.0,0.0,0.3845454545454546,27.495,1,0.3845454545454546,1.0214191165074098
48488,76298,2024,Normal,Marvel Super Heroes,Spider-Man: No Way Home,Iron Spider-Man Construction Figure,76298-1,29.99,303.0,0.0,Box,Unknown,19.1,26.2,6.1,0.0,0.0,0.0,471,374,0,33.47,18.0,2024,1,2025,12,0,11.603867955985333,1.8594444444444445,0.0,1,1,0.0,14.641547182394133,0.0,0.0,0.09897689768976897,0.0,1,0.09897689768976897,-0.08198316964568786
32503,75325,2022,Normal,Star Wars,The Book of Boba Fett,The Mandalorian's N-1 Starfighter,75325-1,59.99,412.0,4.0,Box,Retail,38.2,26.2,5.7,0.0,9.0,0.0,15974,3497,18,46.58,29.79,2022,1,2026,7,0,-22.353725620936828,1.563611950318899,0.0,1,1,0.0,1.0585097516252675,0.0,0.0,0.14560679611650487,14.9975,4,0.5824271844660195,-0.09441676692177037
48946,10334,2024,Normal,Icons,Miscellaneous,Retro Radio,10334-1,99.99,906.0,0.0,Box,LEGO exclusive,38.2,26.2,9.4,0.0,18.0,0.0,1475,1443,0,100.26,55.0,2024,1,2027,12,0,0.2700270027002802,1.822909090909091,0.0,1,1,0.0,10.108010801080113,0.0,0.0,0.11036423841059602,0.0,3,0.33109271523178807,-0.09619199841568626
32407,75337,2022,Normal,Star Wars,Episode III,AT-TE Walker,75337-1,139.99,1082.0,9.0,Box,Retail,48.0,37.8,7.1,0.0,9.0,0.0,14879,3597,38,111.8,87.58,2022,1,2026,7,0,-20.13715265376099,1.2765471568851336,0.0,2,1,0.0,1.9451389384956048,0.0,0.0,0.12938077634011091,15.554444444444446,4,0.5175231053604437,-0.12241544409895155
27836,71043,2018,Normal,Harry Potter,Miscellaneous,Hogwarts Castle,71043-1,469.99,6020.0,28.0,Box,LEGO exclusive,58.5,49.0,19.0,0.0,16.0,0.0,15275,6376,10,341.96,241.0,2018,1,2026,12,0,-27.24100512776868,1.418921161825726,0.0,2,1,0.0,-0.8964020511074722,0.0,0.0,0.07807142857142857,16.785357142857144,8,0.6245714285714286,-0.1237611008375179
48850,21349,2024,Normal,Ideas,Unknown,Tuxedo Cat,21349-1,99.99,1710.0,0.0,Box,Retail,28.2,45.6,13.6,2.481,18.0,0.0,1952,1454,0,98.51,74.84,2024,1,2026,12,0,-1.48014801480147,1.3162747194013895,0.0,2,1,0.0,9.407940794079412,0.0,0.0,0.05847368421052631,0.0,2,0.11694736842105262,-0.15517584087205627
48522,75376,2024,Normal,Star Wars,Starship Collection,Tantive IV,75376-1,79.99,654.0,0.0,Box,Retail,35.4,19.1,9.1,0.0,18.0,0.0,5826,2396,5,50.8,41.59,2024,1,2025,12,0,-36.49206150768846,1.2214474633325316,0.0,1,1,0.0,-4.596824603075385,0.0,0.0,0.12230886850152904,0.0,1,0.12230886850152904,-0.17287914194719356
48525,75380,2024,Normal,Star Wars,Diorama Collection,Mos Espa Podrace Diorama,75380-1,79.99,718.0,0.0,Box,Retail,38.2,26.2,7.1,0.0,18.0,0.0,4468,2267,0,58.03,41.47,2024,1,2025,12,0,-27.453431678959863,1.3993248131179166,0.0,1,1,0.0,-0.981372671583948,0.0,0.0,0.11140668523676879,0.0,1,0.11140668523676879,-0.17287914194719356
48575,75377,2024,Normal,Star Wars,Starship Collection,Invisible Hand,75377-1,49.99,557.0,0.0,Box,Retail - limited,28.2,26.2,5.9,0.0,18.0,0.0,5562,2318,0,45.79,30.0,2024,1,2025,12,0,-8.40168033606722,1.526333333333333,0.0,1,1,0.0,6.639327865573112,0.0,0.0,0.08974865350089767,0.0,1,0.08974865350089767,-0.1745521228847302
34465,75349,2023,Normal,Star Wars,Helmet Collection,Captain Rex Helmet,75349-1,69.99,854.0,0.0,Box,Retail,19.1,35.4,11.8,0.0,18.0,0.0,10016,2054,8,52.59,38.4,2023,1,2026,7,0,-24.86069438491212,1.36953125,0.0,1,1,0.0,0.0557222460351525,0.0,0.0,0.08195550351288056,0.0,3,0.24586651053864167,-0.1784932181239629
48467,10328,2024,Normal,Icons,Botanical Collection,Bouquet of Roses,10328-1,59.99,822.0,0.0,Box,Retail,26.2,38.2,7.1,0.703,18.0,0.0,5893,1809,4,44.09,34.66,2024,1,2027,12,0,-26.504417402900483,1.2720715522215813,0.0,1,1,0.0,-0.6017669611601946,0.0,0.0,0.07298053527980536,0.0,3,0.21894160583941608,-0.1784932181239629
32140,10311,2022,Normal,Icons,Botanical Collection,Orchid,10311-1,49.99,608.0,0.0,Box,Retail,38.0,26.0,6.8,0.756,18.0,0.0,15521,2063,8,37.92,28.12,2022,1,2025,12,0,-24.14482896579316,1.34850640113798,0.0,1,1,0.0,0.3420684136827354,0.0,0.0,0.0822203947368421,0.0,3,0.2466611842105263,-0.1784932181239629
49175,10341,2024,Normal,Icons,Space,NASA Artemis Space Launch System,10341-1,259.99,3601.0,0.0,Box,Unknown,37.8,55.5,15.7,0.0,18.0,0.0,2028,2869,0,222.29,145.61,2024,1,2027,12,0,-14.500557713758228,1.5266121832291737,0.0,2,1,0.0,4.1997769144967085,0.0,0.0,0.07219938905859484,0.0,3,0.2165981671757845,-0.18016619906149778
34551,75356,2023,Normal,Star Wars,Starship Collection,Executor Super Star Destroyer,75356-1,69.99,630.0,0.0,Box,Retail,38.2,26.2,7.1,0.0,18.0,0.0,10045,3114,4,56.83,47.25,2023,1,2026,7,0,-18.802686098014,1.202751322751323,0.0,1,1,0.0,2.4789255607943996,0.0,0.0,0.11109523809523808,0.0,3,0.33328571428571424,-0.18708797071719196
32127,10298,2022,Normal,Icons,Vehicles,Vespa 125,10298-1,99.99,1106.0,0.0,Box,LEGO exclusive,48.0,28.2,9.1,0.0,18.0,0.0,7733,1977,0,67.12,46.38,2022,1,2025,12,0,-32.873287328732864,1.4471755066839156,0.0,2,1,0.0,-3.149314931493146,0.0,0.0,0.09040687160940325,0.0,3,0.27122061482820975,-0.18708797071719196
48953,10369,2024,Normal,Icons,Botanical Collection,Plum Blossom,10369-1,29.99,327.0,0.0,Box,Retail,19.0,26.0,5.8,0.348,18.0,0.0,5455,1482,5,23.47,17.51,2024,1,2027,12,0,-21.7405801933978,1.340376927470017,0.0,1,1,0.0,1.3037679226408798,0.0,0.0,0.09171253822629968,0.0,3,0.2751376146788991,-0.18708797071719196
48470,21345,2024,Normal,Ideas,Licensed,Polaroid OneStep SX-70 Camera,21345-1,79.99,516.0,0.0,Box,Retail - limited,38.2,26.2,5.7,0.0,18.0,0.0,3282,1680,0,58.93,44.6,2024,1,2026,12,0,-26.328291036379543,1.321300448430493,0.0,1,1,0.0,-0.5313164145518172,0.0,0.0,0.15501937984496122,0.0,2,0.31003875968992245,-0.18708797071719196
47295,10318,2023,Normal,Icons,Miscellaneous,Concorde,10318-1,199.99,2083.0,0.0,Box,LEGO exclusive,58.2,48.0,9.1,0.0,18.0,0.0,4125,2338,5,163.58,141.75,2023,4,2026,12,0,-18.205910295514773,1.1540035273368607,0.0,2,1,0.0,2.7176358817940907,0.0,0.0,0.09601056168987038,0.0,3,0.28803168506961113,-0.18708797071719196
48947,10335,2024,Normal,Icons,Miscellaneous,The Endurance,10335-1,269.99,3011.0,0.0,Box,LEGO exclusive,0.0,0.0,0.0,0.0,18.0,0.0,2434,1429,0,249.63,193.3,2024,1,2027,12,0,-7.541020037779182,1.2914123124676666,0.0,2,1,0.0,6.983591984888327,0.0,0.0,0.08966788442377947,0.0,3,0.2690036532713384,-0.18708797071719196
48951,10340,2024,Normal,Icons,Botanical Collection,Wreath,10340-1,99.99,1194.0,0.0,Box,Retail,26.0,38.0,9.2,1.175,18.0,0.0,2043,1442,0,103.98,70.0,2024,1,2027,12,0,3.990399039904,1.4854285714285715,0.0,2,1,0.0,11.5961596159616,0.0,0.0,0.08374371859296482,0.0,3,0.2512311557788945,-0.18876095165472684
48469,10331,2024,Normal,Icons,Miscellaneous,Kingfisher,10331-1,49.99,834.0,0.0,Box,Retail,38.2,26.2,5.7,0.0,18.0,0.0,3420,1488,0,42.4,36.69,2024,1,2027,12,0,-15.18303660732147,1.155628236576724,0.0,1,1,0.0,3.9267853570714113,0.0,0.0,0.059940047961630695,0.0,3,0.1798201438848921,-0.2083825834470776
45421,21060,2023,Normal,Architecture,Landmark Series,Himeji Castle,21060-1,159.99,2125.0,0.0,Box,Retail,48.0,37.8,11.2,0.0,18.0,0.0,3274,2250,5,120.61,112.14,2023,1,2026,12,0,-24.614038377398593,1.075530586766542,0.0,2,1,0.0,0.154384649040562,0.0,0.0,0.07528941176470588,0.0,3,0.22586823529411765,-0.2116606320754446
48848,21347,2024,Normal,Ideas,Licensed,Red London Telephone Box,21347-1,114.99,1460.0,0.0,Box,LEGO exclusive,28.2,45.6,8.8,0.0,18.0,0.0,2117,1721,0,92.18,67.93,2024,1,2026,12,0,-19.836507522393244,1.3569851317532753,0.0,2,1,0.0,2.065396991042702,0.0,0.0,0.07876027397260274,0.0,2,0.15752054794520548,-0.21749113192898406
45500,10315,2023,Normal,Icons,Gardens of the World,Tranquil Garden,10315-1,109.99,1363.0,0.0,Box,Retail,48.0,28.2,9.1,1.586,18.0,0.0,6081,2810,0,77.49,55.4,2023,1,2025,12,0,-29.54814074006728,1.3987364620938627,0.0,2,1,0.0,-1.8192562960269123,0.0,0.0,0.08069699192956713,0.0,2,0.16139398385913425,-0.21749113192898406
34444,10313,2023,Normal,Icons,Botanical Collection,Wildflower Bouquet,10313-1,59.99,939.0,0.0,Box,Retail,26.0,38.0,5.4,0.64,18.0,0.0,10253,2040,9,40.48,24.28,2023,1,2027,12,0,-32.522087014502425,1.6672158154859964,0.0,1,1,0.0,-3.008834805800971,0.0,0.0,0.06388711395101172,0.0,4,0.2555484558040469,-0.22104557266871616
32138,10309,2022,Normal,Icons,Botanical Collection,Succulents,10309-1,49.99,771.0,0.0,Box,Retail,38.0,26.0,5.3,0.683,18.0,0.0,12441,2476,13,39.9,24.51,2022,1,2026,12,0,-20.184036807361476,1.6279069767441858,0.0,1,1,0.0,1.9263852770554095,0.0,0.0,0.0648378728923476,0.0,4,0.2593514915693904,-0.22104557266871616
48615,76285,2024,Normal,Marvel Super Heroes,Spider-Man,Spider-Man's Mask,76285-1,69.99,487.0,0.0,Box,Retail,19.1,35.4,9.1,0.0,18.0,0.0,1641,1049,0,69.84,55.87,2024,1,2025,12,0,-0.2143163309044027,1.2500447467334883,0.0,1,1,0.0,9.91427346763824,0.0,0.0,0.1437166324435318,0.0,1,0.1437166324435318,-0.2260858845222149
39928,10317,2023,Normal,Icons,Vehicles,Land Rover Classic Defender 90,10317-1,239.99,2336.0,0.0,Box,LEGO exclusive,58.2,37.8,11.8,0.0,18.0,0.0,3449,2767,0,185.26,157.13,2023,1,2025,12,0,-22.805116879870003,1.1790237383058613,0.0,2,1,0.0,0.8779532480519983,0.0,0.0,0.10273544520547946,0.0,2,0.20547089041095892,-0.2260858845222149
30756,75304,2021,Normal,Star Wars,Helmet Collection,Darth Vader Helmet,75304-1,79.99,834.0,0.0,Box,Retail,19.1,35.4,11.8,0.0,18.0,0.0,17223,2359,0,56.71,35.24,2021,1,2026,7,0,-29.10363795474434,1.6092508513053347,0.0,1,1,0.0,-1.6414551818977363,0.0,0.0,0.09591127098321342,0.0,5,0.4795563549160671,-0.23874887374385168
31325,76191,2021,Normal,Marvel Super Heroes,Miscellaneous,Infinity Gauntlet,76191-1,79.99,590.0,0.0,Box,Retail,19.1,35.4,9.1,0.0,18.0,0.0,10815,2030,23,54.35,34.42,2021,1,2025,12,0,-32.05400675084385,1.5790238233585123,0.0,1,1,0.0,-2.8216027003375395,0.0,0.0,0.13557627118644067,0.0,4,0.5423050847457627,-0.23874887374385168
48831,76433,2024,Normal,Harry Potter,Chamber of Secrets,Mandrake ,76433-1,69.99,579.0,0.0,Box,Retail,26.2,28.2,7.6,0.0,10.0,0.0,2047,1228,0,49.11,53.43,2024,1,2026,12,0,-29.832833261894553,0.9191465468837732,0.0,1,1,0.0,-1.9331333047578223,0.0,0.0,0.12088082901554403,0.0,2,0.24176165803108807,-0.24086430884087662
48949,10338,2024,Normal,Icons,Licensed,Bumblebee,10338-1,89.99,950.0,0.0,Box,LEGO exclusive,26.2,38.2,9.4,0.0,18.0,0.0,2613,1503,5,63.89,71.51,2024,1,2027,12,0,-29.003222580286693,0.8934414767165431,0.0,1,1,0.0,-1.6012890321146784,0.0,0.0,0.09472631578947367,0.0,3,0.28417894736842103,-0.24086430884087662
48997,21061,2024,Normal,Architecture,Landmark Series,Notre-Dame de Paris,21061-1,229.99,4383.0,0.0,Box,Retail,55.5,37.8,13.2,0.0,18.0,0.0,2493,2177,0,188.37,171.47,2024,1,2027,12,0,-18.096438975607636,1.098559514783927,0.0,2,1,0.0,2.7614244097569447,0.0,0.0,0.05247319187770933,0.0,3,0.157419575633128,-0.2415499973985611
26417,21034,2017,Normal,Architecture,Skylines,London,21034-1,39.99,468.0,0.0,Box,Retail - limited,26.2,19.1,6.1,0.62,12.0,0.0,17707,2376,20,27.4,17.2,2017,1,2025,12,0,-31.48287071767943,1.5930232558139534,0.0,1,1,0.0,-2.593148287071772,0.0,0.0,0.08544871794871796,0.0,8,0.6835897435897437,-0.24868928307564708
32136,10307,2022,Normal,Icons,Landmarks,Eiffel Tower,10307-1,629.99,10001.0,0.0,Box,LEGO exclusive,58.5,47.5,38.5,0.0,18.0,0.0,3110,2721,9,493.25,341.33,2022,1,2026,12,0,-21.7051064302608,1.4450824715085109,0.0,2,1,0.0,1.3179574278956796,0.0,0.0,0.062992700729927,0.0,4,0.251970802919708,-0.25346183369945585
